Date,JPYINR18OCTFUT O,JPYINR18OCTFUT H,JPYINR18OCTFUT L,JPYINR18OCTFUT C,JPYINR18OCTFUT V
9/14/2018 4:59:00 PM,64.81,64.81,64.67,64.6725,213
9/14/2018 4:58:00 PM,64.8,64.81,64.8,64.81,6
9/14/2018 4:57:00 PM,64.795,64.8,64.795,64.8,5
9/14/2018 4:56:00 PM,64.795,64.795,64.795,64.795,2
9/14/2018 4:55:00 PM,64.795,64.795,64.795,64.795,0
9/14/2018 4:54:00 PM,64.795,64.795,64.795,64.795,0
9/14/2018 4:53:00 PM,64.79,64.795,64.79,64.795,5
9/14/2018 4:52:00 PM,64.81,64.81,64.79,64.79,3
9/14/2018 4:51:00 PM,64.81,64.81,64.81,64.81,0
9/14/2018 4:50:00 PM,64.815,64.8175,64.81,64.81,18
9/14/2018 4:49:00 PM,64.81,64.815,64.81,64.815,1
9/14/2018 4:48:00 PM,64.81,64.81,64.81,64.81,0
9/14/2018 4:47:00 PM,64.7975,64.81,64.7975,64.81,1
9/14/2018 4:46:00 PM,64.7975,64.7975,64.7975,64.7975,0
9/14/2018 4:45:00 PM,64.7975,64.7975,64.7975,64.7975,0
9/14/2018 4:44:00 PM,64.8,64.8,64.7975,64.7975,4
9/14/2018 4:43:00 PM,64.78,64.8,64.78,64.8,2
9/14/2018 4:42:00 PM,64.7625,64.78,64.7625,64.78,2
9/14/2018 4:41:00 PM,64.7625,64.7625,64.7625,64.7625,0
9/14/2018 4:40:00 PM,64.7625,64.7625,64.7625,64.7625,0
9/14/2018 4:39:00 PM,64.7625,64.7625,64.7625,64.7625,0
9/14/2018 4:38:00 PM,64.7625,64.7625,64.7625,64.7625,0
9/14/2018 4:37:00 PM,64.7775,64.7775,64.7625,64.7625,1
9/14/2018 4:36:00 PM,64.7775,64.7775,64.7775,64.7775,0
9/14/2018 4:35:00 PM,64.7775,64.7775,64.7775,64.7775,0
9/14/2018 4:34:00 PM,64.7775,64.7775,64.7775,64.7775,0
9/14/2018 4:33:00 PM,64.7775,64.7775,64.7775,64.7775,0
9/14/2018 4:32:00 PM,64.775,64.785,64.775,64.7775,96
9/14/2018 4:31:00 PM,64.775,64.775,64.775,64.775,0
9/14/2018 4:30:00 PM,64.775,64.775,64.775,64.775,0
9/14/2018 4:29:00 PM,64.7625,64.775,64.7625,64.775,4
9/14/2018 4:28:00 PM,64.7825,64.7825,64.7625,64.7625,10
9/14/2018 4:27:00 PM,64.815,64.815,64.7825,64.7825,7
9/14/2018 4:26:00 PM,64.815,64.815,64.815,64.815,0
9/14/2018 4:25:00 PM,64.815,64.815,64.815,64.815,1
9/14/2018 4:24:00 PM,64.8075,64.815,64.8075,64.815,1
9/14/2018 4:23:00 PM,64.8075,64.8075,64.8075,64.8075,0
9/14/2018 4:22:00 PM,64.83,64.83,64.8075,64.8075,6
9/14/2018 4:21:00 PM,64.83,64.83,64.83,64.83,0
9/14/2018 4:20:00 PM,64.83,64.83,64.83,64.83,0
9/14/2018 4:19:00 PM,64.83,64.83,64.83,64.83,0
9/14/2018 4:18:00 PM,64.85,64.85,64.83,64.83,10
9/14/2018 4:17:00 PM,64.85,64.85,64.85,64.85,0
9/14/2018 4:16:00 PM,64.885,64.885,64.85,64.85,30
9/14/2018 4:15:00 PM,64.885,64.885,64.885,64.885,0
9/14/2018 4:14:00 PM,64.885,64.885,64.885,64.885,0
9/14/2018 4:13:00 PM,64.885,64.885,64.885,64.885,0
9/14/2018 4:12:00 PM,64.87,64.885,64.87,64.885,27
9/14/2018 4:11:00 PM,64.85,64.87,64.85,64.87,89
9/14/2018 4:10:00 PM,64.85,64.85,64.85,64.85,0
9/14/2018 4:09:00 PM,64.85,64.85,64.85,64.85,0
9/14/2018 4:08:00 PM,64.86,64.86,64.85,64.85,9
9/14/2018 4:07:00 PM,64.875,64.875,64.86,64.86,7
9/14/2018 4:06:00 PM,64.88,64.88,64.875,64.875,1
9/14/2018 4:05:00 PM,64.88,64.88,64.88,64.88,0
9/14/2018 4:04:00 PM,64.88,64.88,64.88,64.88,0
9/14/2018 4:03:00 PM,64.88,64.88,64.88,64.88,0
9/14/2018 4:02:00 PM,64.88,64.88,64.88,64.88,0
9/14/2018 4:01:00 PM,64.88,64.88,64.88,64.88,0
9/14/2018 4:00:00 PM,64.88,64.88,64.88,64.88,0
9/14/2018 3:59:00 PM,64.88,64.88,64.88,64.88,0
9/14/2018 3:58:00 PM,64.87,64.88,64.87,64.88,2
9/14/2018 3:57:00 PM,64.8625,64.8725,64.8625,64.87,66
9/14/2018 3:56:00 PM,64.865,64.865,64.8625,64.8625,2
9/14/2018 3:55:00 PM,64.865,64.865,64.865,64.865,0
9/14/2018 3:54:00 PM,64.8575,64.865,64.8575,64.865,1
9/14/2018 3:53:00 PM,64.88,64.88,64.8575,64.8575,18
9/14/2018 3:52:00 PM,64.88,64.88,64.88,64.88,0
9/14/2018 3:51:00 PM,64.88,64.88,64.88,64.88,0
9/14/2018 3:50:00 PM,64.88,64.88,64.88,64.88,0
9/14/2018 3:49:00 PM,64.88,64.88,64.88,64.88,0
9/14/2018 3:48:00 PM,64.8925,64.8925,64.88,64.88,20
9/14/2018 3:47:00 PM,64.895,64.895,64.8925,64.8925,2
9/14/2018 3:46:00 PM,64.895,64.895,64.895,64.895,0
9/14/2018 3:45:00 PM,64.9025,64.9025,64.89,64.895,44
9/14/2018 3:44:00 PM,64.9025,64.9025,64.9025,64.9025,0
9/14/2018 3:43:00 PM,64.9025,64.9025,64.9025,64.9025,1
9/14/2018 3:42:00 PM,64.9025,64.9025,64.9025,64.9025,5
9/14/2018 3:41:00 PM,64.9075,64.9175,64.9025,64.9025,11
9/14/2018 3:40:00 PM,64.9025,64.9075,64.9025,64.9075,29
9/14/2018 3:39:00 PM,64.89,64.9025,64.89,64.9025,19
